station_name,start_count,end_count,lat,lng
6 Ave & W 33 St,0.0,9,40.74901271,-73.98848395
6 Ave & W 34 St,0.0,6,40.74964,-73.98805
6 Ave & Walker St,0.0,9,40.7197920901383,-74.0052238852195
8 Ave & W 16 St,0.0,2,40.740983,-74.001702
8 Ave & W 33 St,0.0,2,40.751551,-73.993934
8 Ave & W 38 St,0.0,1,40.75461,-73.99177
8 Ave & W 49 St,0.0,1,40.76171227910671,-73.98655101656914
9 Ave & W 18 St,0.0,7,40.74317449,-74.00366443
Adam Clayton Powell Blvd & W 132 St,0.0,1,40.813539,-73.94521
Albany St & Greenwich St,0.0,1,40.709267,-74.013247
Amsterdam Ave & W 79 St,0.0,1,40.7829391,-73.9786517
Amsterdam Ave & W 82 St,0.0,1,40.78524672,-73.97667321
Bank St & Hudson St,0.0,1,40.73652889,-74.00618026
Bank St & Washington St,0.0,2,40.7361967,-74.00859207
Barrow St & Hudson St,0.0,2,40.73172428,-74.00674436
Bayard St & Baxter St,0.0,1,40.71602118,-73.99974372
Bleecker St & Crosby St,0.0,2,40.72615604980408,-73.99510189890862
Broad St & Bridge St,0.0,3,40.70365182,-74.01167797
Broadway & Battery Pl,0.0,7,40.70463334,-74.01361706
Broadway & E 19 St,0.0,2,40.73866091428551,-73.98987293243407
Broadway & E 21 St,0.0,1,40.73988840858996,-73.98958593606949
Broadway & Morris St,0.0,2,40.705945132708806,-74.01321887969969
Broadway & W 155 St,0.0,1,40.83299,-73.94592
Broadway & W 160 St,0.0,3,40.835775,-73.9434
Broadway & W 220 St,0.0,1,40.872412,-73.912807
Broadway & W 29 St,0.0,2,40.7462009,-73.98855723
Broadway & W 36 St,0.0,2,40.75097711,-73.98765428
Broadway & W 41 St,0.0,1,40.75513557,-73.98658032
Broadway & W 53 St,0.0,1,40.76344058,-73.98268129
Broadway & W 58 St,0.0,4,40.76695317,-73.98169333
Broadway & W 61 St,0.0,1,40.77003010255044,-73.9819684624672
Broadway\t& W 48 St,0.0,7,40.76017739537783,-73.98486793041229
Bus Slip & State St,0.0,4,40.701907,-74.013942
Cabrini Blvd & W 177 St,0.0,21,40.848282,-73.941343
Carmine St & 6 Ave,0.0,5,40.73038599,-74.00214988
Cedar Ave & W Fordham Rd,0.0,1,40.86156,-73.91219
Central Park North & Adam Clayton Powell Blvd,0.0,16,40.799484,-73.955613
Central Park S & 6 Ave,0.0,2,40.76590936,-73.97634151
Central Park West & W 68 St,0.0,2,40.7734066,-73.97782542
Christopher St & Greenwich St,0.0,6,40.732916,-74.007114
Cleveland Pl & Spring St,0.0,5,40.722103786686034,-73.99724900722504
Cliff St & Fulton St,0.0,3,40.70838,-74.00495
Columbus Ave & W 95 St,0.0,1,40.7919557,-73.968087
Commerce St & Van Brunt St,0.0,2,40.6812117,-74.00860912
Cooper Square & Astor Pl,0.0,1,40.72951496224949,-73.99075269699097
E 11 St & 1 Ave,0.0,1,40.72953837,-73.98426726
E 118 St & 1 Ave,0.0,1,40.79747,-73.93504
E 17 St & Broadway,0.0,3,40.73704984,-73.99009296
E 2 St & 2 Ave,0.0,3,40.72502876,-73.99069656
E 2 St & Avenue A,0.0,1,40.72307749068673,-73.98583620786667
E 20 St & Park Ave,0.0,1,40.73827428,-73.98751968
E 30 St & Park Ave S,0.0,1,40.74444921,-73.98303529
E 31 St & 3 Ave,0.0,1,40.743943,-73.979661
E 47 St & 2 Ave,0.0,1,40.75323098,-73.97032517
E 47 St & Park Ave,0.0,7,40.75510267,-73.97498696
E 48 St & 5 Ave,0.0,1,40.75724567911726,-73.97805914282799
E 5 St & Avenue C,0.0,1,40.72299208,-73.97995466
E 5 St & Cooper Sq,0.0,23,40.72769,-73.990993
E 50 St & Park Ave,0.0,2,40.757334,-73.974235
E 51 St & 2 Ave,0.0,2,40.755293,-73.967641
E 58 St & 3 Ave,0.0,1,40.76095756,-73.96724467
E 59 St & Madison Ave,0.0,1,40.76350532,-73.97109243
E 9 St & 5 Ave,0.0,1,40.73275887045087,-73.99581670761108
Edgecombe Ave & W 141 St,0.0,1,40.820681,-73.945144
Faile St & Garrison Ave,0.0,1,40.820578,-73.888271
Forest Ave & Summerfield St,0.0,1,40.69922,-73.89795
Fort Washington Ave & W 173 St,0.0,3,40.84522,-73.940493
Franklin St & W Broadway,0.0,2,40.71911552,-74.00666661
Fulton St & Broadway,0.0,19,40.711066,-74.009447
Fulton St & William St,0.0,1,40.70960089363537,-74.00655090808868
Grand Army Plaza & Central Park S,0.0,2,40.7643971,-73.97371465
Great Jones St,0.0,15,40.72743423,-73.99379025
Greene St & Prince St,0.0,2,40.72511734422387,-73.99930492043495
Greenwich Ave & Charles St,0.0,1,40.735238,-74.000271
Greenwich St & Hubert St,0.0,11,40.721319,-74.010065
Greenwich St & W Houston St,0.0,3,40.728846,-74.008591
Hudson St & N Moore St,0.0,1,40.71988799798129,-74.0086269378662
Hudson St & Reade St,0.0,1,40.71625008,-74.0091059
Hudson St & W 13 St,0.0,1,40.74005708567285,-74.0052741765976
John St & William St,0.0,1,40.70862144,-74.00722156
King St & Varick St,0.0,2,40.72789701409023,-74.00536268949507
Kosciuszko St & Tompkins Ave,0.0,6,40.69128258,-73.9452416
LaGuardia Pl & W 3 St,0.0,1,40.72917025,-73.99810231
Lafayette St & E 8 St,0.0,3,40.73020660529954,-73.99102628231049
Lafayette St & Jersey St,0.0,15,40.72456089,-73.99565293
Laight St & Hudson St,0.0,2,40.72185379,-74.00771779
Leonard St & Church St,0.0,1,40.717571,-74.005549
Lexington Ave & E 24 St,0.0,1,40.74025878,-73.98409214
Liberty St & Nassau St,0.0,7,40.70858894240581,-74.00935482235809
Lispenard St & Broadway,0.0,1,40.71939226,-74.00247214
Little West St & 1 Pl,0.0,3,40.70569254,-74.01677685
MacDougal St & Washington Sq,0.0,1,40.73226398,-73.99852205
Madison Av & E 51 St,0.0,1,40.75863,-73.97513
Madison Ave & E 26 St,0.0,1,40.742684734875695,-73.98671329021454
Madison Ave & E 82 St,0.0,1,40.7781314,-73.96069399
Maiden Ln & Pearl St,0.0,17,40.70706456,-74.00731853
Marcy Ave & Lafayette Ave,0.0,1,40.6900815,-73.947915
Market St & Cherry St,0.0,1,40.71076228,-73.99400398
McKibbin St & Manhattan Ave,0.0,1,40.70510918,-73.94407279
Mercer St & Spring St,0.0,6,40.72362738,-73.99949601
Mott St & Prince St,0.0,2,40.72317958,-73.99480012
Murray St & Greenwich St,0.0,2,40.71485150526252,-74.01122331619263
Murray St & West St,0.0,1,40.7149787,-74.013012
Murray St\t& West St,0.0,2,40.71503,-74.01246
Myrtle Ave & St Edwards St,0.0,2,40.69327018,-73.97703874
N Moore St & Hudson St,0.0,1,40.71996118117138,-74.00844320654869
North Moore St & Greenwich St,0.0,20,40.72019521437465,-74.0103006362915
Old Slip & South St,0.0,2,40.70336686695866,-74.007867872715
Park Ave & St Edwards St,0.0,1,40.69608941,-73.97803415
Park Pl & Church St,0.0,29,40.71334184275907,-74.00935515761375
Pearl St & Hanover Square,0.0,1,40.7047177,-74.00926027
Pearl St & Peck Slip,0.0,1,40.708485,-74.002751
Pier 40 - Hudson River Park,0.0,5,40.7277140777778,-74.01129573583603
Pier 40 Dock Station,0.0,8,40.72866,-74.01198
Plaza Dr & W 170 St,0.0,1,40.840484,-73.917946
River Ter & Warren St,0.0,2,40.71759894980997,-74.01587963104248
Riverside Dr & W 104 St,0.0,1,40.8013434,-73.9711457439
Riverside Dr & W 153 St,0.0,1,40.832164,-73.949702
Riverside Dr & W 72 St,0.0,1,40.78057799010334,-73.98562431335449
Rivington St & Chrystie St,0.0,1,40.72110063,-73.9919254
Rogers Ave & Sterling St,0.0,2,40.6630619,-73.9538746
S 4 St & Rodney St,0.0,1,40.70934,-73.95608
Shop Morgan,0.0,5,40.70987333941734,-73.9315938949585
Soissons Landing,0.0,2,40.69231660719192,-74.01486575603485
South St & Broad St,0.0,1,40.70188858913366,-74.01089876890182
South St & Gouverneur Ln,0.0,2,40.70355377,-74.00670227
South St & Pike St,0.0,1,40.70991806921533,-73.99161100387573
South St & Whitehall St,0.0,3,40.70122128,-74.01234218
Spruce St & Nassau St,0.0,1,40.71146364,-74.00552427
St James Pl & Oliver St,0.0,1,40.71307916,-73.99851193
St Marks Pl & 2 Ave,0.0,1,40.7284186,-73.98713956
St. Nicholas Terrace & Convent Ave,0.0,1,40.821294,-73.947868
Stagg St & Morgan Ave,0.0,1,40.710681,-73.93372
Suffolk St & Stanton St,0.0,1,40.72066442,-73.98517977
University Pl & E 14 St,0.0,1,40.734814,-73.992085
University Pl & E 8 St,0.0,2,40.73143724085228,-73.99490341544151
Van Sinderen Ave & Truxton St,0.0,1,40.6786,-73.90369
Vernon Blvd & 47 Rd,0.0,1,40.7449067,-73.9534573
Vesey Pl & River Terrace,0.0,47,40.7153379,-74.01658354
Vesey St & Church St,0.0,24,40.71221958009051,-74.01047229766846
W 10 St & Washington St,0.0,1,40.73342399437081,-74.00851495563984
W 104 St & Amsterdam Ave,0.0,1,40.79904139288298,-73.96649479866028
W 106 St & Central Park West,0.0,2,40.7981856,-73.9605909006
W 116 St & Amsterdam Ave,0.0,2,40.8067581,-73.9607082
W 116 St & Broadway,0.0,1,40.8082,-73.9641
W 15 St & 10 Ave,0.0,5,40.74275382865903,-74.00747358798981
W 16 St & The High Line,0.0,21,40.74334935,-74.00681753
W 168th S & Fort Washington Ave,0.0,2,40.84210236102173,-73.9422395825386
W 17 St & 8 Ave,0.0,2,40.74177603,-74.00149746
W 180 St & Ft Washington Ave,0.0,2,40.849972,-73.938423
W 181 St & Riverside Dr,0.0,1,40.85168,-73.94186
W 20 St & 7 Ave,0.0,4,40.74238787,-73.99726235
W 20 St & 8 Ave,0.0,1,40.74345335,-74.00004031
W 21 St & 6 Ave,0.0,1,40.74173969,-73.99415556
W 22 St & 10 Ave,0.0,3,40.74691959,-74.00451887
W 27 St & 7 Ave,0.0,2,40.746647,-73.993915
W 30 St & 10 Ave,0.0,6,40.752694,-74.002353
W 34 St & 11 Ave,0.0,8,40.75594159,-74.0021163
W 34 St &\tHudson Blvd E,0.0,3,40.75516719072139,-74.00059908628464
